threshold,n_approved,approval_rate,total_profit,total_loan,avg_PD,profit_ratio
0.5500000000000002,77852,98.4919791508527,110352260.89333984,1091533925.0,0.18993933802781698,0.10109833360730391
0.5600000000000002,78112,98.82090987298213,109907701.92651206,1096243075.0,0.19115469642405392,0.10025851422278044
0.5700000000000002,78323,99.0878498051718,109496890.26082624,1100130675.0,0.19216119217603686,0.0995308037027749
0.5800000000000002,78488,99.2965943019078,109133350.04892626,1103190800.0,0.1929652741252209,0.09892518143636284
0.5900000000000002,78654,99.50660391680583,108744009.81284267,1106144125.0,0.19379215113303805,0.09830907867710519
0.6000000000000002,78778,99.66347856889833,108436417.59613866,1108346825.0,0.19442263152314201,0.09783617830649595
0.6100000000000001,78890,99.8051718030464,108142893.33203462,1110280500.0,0.19500479290399617,0.09740141642768167
0.6200000000000001,78958,99.89119983806486,107940072.96160921,1111526350.0,0.19536627472486645,0.09710977428615095
0.6300000000000001,78995,99.93800921006022,107825462.15122837,1112183975.0,0.19556729506473408,0.09694930386964834
0.6400000000000001,79025,99.97596275492131,107728896.88452162,1112708275.0,0.19573434264823947,0.09681683807422176
0.6500000000000001,79037,99.99114417286575,107683659.70449468,1112940050.0,0.1958024261477838,0.09675602895636175
0.6600000000000001,79038,99.99240929102778,107681811.56404376,1112950775.0,0.19580818306701264,0.09675343598556169
0.6700000000000002,79040,99.99493952735186,107674610.2126043,1112984625.0,0.1958199607118233,0.0967440230475819
0.6800000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.6900000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7000000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7100000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7200000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7300000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7400000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7500000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7600000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7700000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7800000000000001,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.7900000000000001,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8000000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8100000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8200000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8300000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8400000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8500000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8600000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8700000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8800000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.8900000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.9000000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.9100000000000003,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.9200000000000003,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.9300000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
0.9400000000000002,79044,100.0,107642065.2287871,1113122125.0,0.19584413959615798,0.09670283503599131
